sentiment,content
neutral,@katiel777 it does.
neutral,My name is toggling in and out of Google Suggestions Help me by searching more for &quot;Ganesh Jaju&quot; and clicking on some link
neutral,@adamsconsulting Hello May you have a great day
neutral,"@Sputty11 &quot;there are people and then there are pencils&quot; some are sharp, some are not and some can be sharpened  my pencil philosophy....."
neutral,@t_de_baillon
neutral,"@knorth23 Hey!  It's easy...Just type what you're doing!  Just like facebook, but much simpler.  Have a good day!"
neutral,@XThe_Happy_EmoX lmao. Lucky! It's 10 minutes on foot for me  ewww..... School.lol. On the bus now.
neutral,Getting ready for school. Class starts at 10. Critique at noon. I'll be painting my Vermeer most of the day though
neutral,@RobertHoliday @mmichelle35 @missjo_ladie - G'morning...  Headed into the classroom now. Have a good one.
neutral,@jkreeftmeijer you can turn the bird sounds off if you like in twitterena - check out settings from your home page
neutral,is done reading the book. magnonotes na ako sa mga kailangang imemorize.  http://plurk.com/p/rqh5n
neutral,getttin ready.
negative,"@sethsimonds I am grateful for a great marriage, awesome kids, and a business that rocks! I guess the rest of my family is ok too."
neutral,@MarcMillan just bad good leader and delegate it
negative,Good morning! Kid going back to school after 10 sick days. Looking forward to a productive week.  happy monday!
neutral,@speed_ofsound oooooooooook xD que aproveche (: la cancion esta genial
neutral,"@invalid_reality morning trish, have fun today"
neutral,Watching Matilda
neutral,Just joined a twibe. Visit http://twibes.com/spinning to join -- not a spinner myself but do KNOW and RESPECT spinners   ...need coffee
negative,@SheiroQ fuckyoumonday?  I like it. It's a totally crap-tastic rainy day here. :/ I'm off to work. *hugs*
neutral,Came from Greenbelt &amp; Power
negative,@MagmaFlow Not yet.... too early in the AM
neutral,@chiefie you will hav to ask him
neutral,Instant Internet Marketing EMPIRE! + *BONUS* recoup your investment in 24 hours or less  http://vur.me/megainternetwealth/megaredpacket
neutral,#juddday
neutral,Starting some work on final year project. Just making some test pieces in flash to see how things could work. Listning to iPod too
neutral,"@samueltwitt1 You don't get that from Marcus, I must say  #sambradley"
neutral,"@khad strange, that is exactly the chapter god laid on my heart to read in The Message yeaterday morning...He works in mysterious ways"
negative,@shanelapoint hey hunnie  how are u?? I miss talkin to u! Ty for the follow
neutral,posting my first tweet!!
neutral,"@keza34 ta babe, you know me i do love your curried"
negative,Does not want to go to school. Oh well. I get out early anyways.
neutral,"@sethsimonds Get my ass out the door and go to work   I'm goin, I'm goin!!!!"
neutral,Well that is nice.  Loving the new Friends organiser too.
negative,@Rawrrgasmic it's a dreary monday morning and I slept like crap...give me a break...
negative,"@PaulaMacKay I think he thought about it, but then I sneezed on him"
neutral,Browsing  find everything about university &amp; interior design.
negative,@MichelleWegner You are very lucky!!! My legs did not like how long it takes to dry my hair this morning.
neutral,watching spongebob
neutral,im almost to 300 updates. 200 more to goo
neutral,tom delonge?
neutral,"@BastetAsshur  trying tweetdeck, have seen, you are twittering with that programme, so I thought, I should give it a try"
neutral,-g'mornin' Twitterville  took the day off from Tweet'n yesterday &amp; I'm &quot;jonesing&quot; to get back into it today
neutral,6 weeks today untill my 18th birthday yahoo
neutral,@mrtrev that'll do it too
neutral,@Jakkkkk hey you!
neutral,@coliwilso hmm.. should be okay with any of 'em - DM me your e-mail and I'll send the install notes over
neutral,@dizzyupthegirl thankyooooou
neutral,is getting the kids ready for school before deciding the workout du jour
neutral,"ey twitters! home again from school, and i'm still cold. and i haven't planned nothing today.. just take it easy"
neutral,"Don't worry, I won't  I'll send it to you as soon as I land in Delhi. I'll let you know about the price in a little while."
negative,@nickindarsingh you suck
neutral,@ianvisagie Why???
neutral,"@craigralph If you've jailbroken or went to 3.0 early, prepare to be bricked"
neutral,"@poisonedapples Hey, not anymore. I'm back now."
neutral,@byronlk yes
neutral,@Jonasbrothers Good afternoon Jonas Brothers  x
neutral,Glad I trudged through the first 60 pages of Anathem.  Now on pg340...it's been a long time since I wanted to call in sick just to read
neutral,Morning.  Tweet Tweet.
neutral,@photogoat cool photo  is that outside your place?
neutral,Jacqueline Wilson day on CBBC
negative,"@nikster07. i dont know whats worse, g's twittering or your muriel! (@jms_ is the worst anyway  )"
neutral,drying my hair
neutral,@jpiasentin bawkmarked
negative,@Squiretwizz You're right- you don't do sympathy very well
neutral,better go and put my clothes on guys.. even if P.J's are warm and moveable
neutral,@ilikepeanuts supp?
neutral,is going to Rye House Speedway
neutral,"In math class now, about to shoot myself because its so boring."
neutral,"@T_DAHSAR Thanxs hun, you too!"
neutral,"dont look at my toes... put shoes on, then painted big toe!"
neutral,hahah ive got ginger hair nao
neutral,Wallace and Gromit is on bbc1
negative,Off to school so tired didnt hear the 10 texts i had last night lol !! Still tired but i love Jesus Christ
neutral,@chriscuzzy I'm on my way--it may take me a while to get there since I'm coming from the US  Did you have fun last night?
neutral,@KristinNorena are you playing with Rico and growling at him
neutral,"In worst case cenario, I'll show up on OFFF with a white mask, and scare everyone. Even better: everyone should wear a mask besides me."
neutral,"http://twitpic.com/4jgfw - I love this one ! Me , Victor , Ate Guillian and Dexter ."
negative,@syzygy thank you
neutral,@cosmicxpress cheers we will defo give you a call
neutral,Back from brunch. Hopefully I lured two more friends here.
neutral,"@whatsonthetube total tv quote, not sure if u would know it"
neutral,Just booked some tickets for Jessicaaaa.
neutral,@mileycyrus Hey! r u back in La right now?What was ur favorite part bout Europe? I've never been out of the country xcept Canada  XO Jenna
neutral,SO BORED.
negative,In pain from earlier gym session - a necessary evil after too much beer this past year
neutral,@ritzybee Good luck this week! I know you'll handle it with grace
neutral,hmmmm.... i wonder how she my number @-)
neutral,happy belated birthday francesc fabregas! wish you all the best fabre
neutral,watching ALIAS from the beginning... approximately for the 117th time
neutral,indian or the cowboy? actually considering going to the carnival
neutral,"@keza34 ok babe gotta go back to work, tweet you later"
neutral,Invisible car helps to boost recycling. Honest   http://twurl.nl/fdgmyo
neutral,@regularjen thanks!
neutral,"Day 2 of back to work , Day 1 went allllllllright I was only exposed to the swine flu for 8 hours so thats ok I think? Just wash my hands"
neutral,@dNeero LOL minimize the use of computers?  or... discover ecofriendly devices
neutral,i just joined
negative,"@pauldoussay Yes, I'm the only stupid girl of my kind!!"
neutral,haha! and i just got an email that truth is now following me on Twitter  A sign that I need to do away with the obscure mind games?
neutral,says karma strikes more than twice!  http://plurk.com/p/rqk2z
neutral,@BamaBlockhead You will know me and Kristi in Raleigh... right??
negative,"@Janegoth It has, however, got me out of doing the gardening - something for which I am eternally pleased"
negative,@shonali hello- i'd like a little chat- but can't DM you- is there a mail id?
neutral,@JerrysWifey23 Thanks
neutral,"@WriterCharly 100,000 / 60 = 1667 words/day.  1667 / 10 = 167 words/hour.  167 / 60 = 2.8 words/minute.  No pressure."
neutral,"@limburger2001 yeah. No vomiting tonight, bit sniffly but ok.  bens trying to get him to sleep right now."
neutral,@shefaly Hard-knock life.
neutral,i'm going at espacesoleil
neutral,"I meant to say that I have created my profile on twitter lol, I will begin twittering today  Thanx 4 all who showed up to Jay Bday Bash !"
neutral,Raining in Calicut.
negative,Just saw a male Baltimore oriole at our suet feeder and something enjoyed a lot of thistle from our new thistle feeder early this a.m.
neutral,@davidgillespie The Beatles? Those scousers with funny haircuts? More talent in The Banana Splits!
negative,"3 to go, and uploading photos to email would be ten tenenen tenen.. DONE"
neutral,Screw it I'm going shopping. I'll be back by like 3 anyway and then I'll do hard core revision
negative,"is planning her week, its going to good, going to get a lot of stuff done"
neutral,@djcool_m  yeeee  so wassup?
neutral,@mspecht well bugger can send my to do list right on over if your board..
neutral,"@shbbll Video a challenge when shot in not-so-scenic conference room with no mic, but thank you  Loved your Grant Park house &amp; DOGS!!!"
negative,will be very hard to go back to work this morning- 4 straight days at disneyland tends to do that
neutral,I'm out looking for warblers! Seen a yellow so far!  And a blue grey gnatcatcher
neutral,@ary_ary aaaww fall for you of courseeee
neutral,@pincheguera I got you today
neutral,@spawn33  hahaha awww just wait until mid-August
neutral,and now! ITS #starwarsday!!!! To celebrate i should watch some star wars  - Richard
neutral,going to have bfast now
neutral,went twitter crazy! last nigh :p well thats what happens when u got nothin ta do at 2 o'clock in da mornin
neutral,"I've come close to astroturf myself, @mgrocki. Save yr $$ - it doesn't drain. Just spray paint yr yard green instead"
neutral,"Okay, now I'm listening to Jonathan Coulton and working. Woo."
neutral,"I'm gonna stop hogging the laptop for tonight. Tomorrow again, twitterers!"
neutral,@lizbastian awesome! I am at 1505 west lake street: right across from the dunn brothers on lake
neutral,"The Paper Route album is &quot;Absence,&quot; not &quot;Absence While Working on Cabinets.&quot;"
negative,Chilliin
neutral,In the park with seb and ruth
negative,"I woke up at 5:45. Didn't have a full bladder, wasn't sick... And to top it off, I went for a run. Now I wanna go back to bed"
neutral,On train with at least two gaggles of teenagers sitting &amp; the commuters squished standing in the back...at least the teenagers let me sit
neutral,@wishwishwish Search for &quot;Asos coupons&quot; in Google  Plenty to choose from
neutral,"My copy shipped Friday, if it shows up today, I'll tune in."
neutral,@Timprescott wasn't the &quot;layers&quot; just absolute positioned divs? Web compability killer
neutral,Just learned aobut #starwarsday. Thus: &quot;There are only 3 movies and Han Solo shot first&quot;. Deal with it
negative,http://twitpic.com/4jgro - me again
negative,"@sargedunn1 oh, I am sorry my friend. Katie &amp; I will do our best to keep you cheery"
neutral,hasa Lemon Cake in the oven and is going on to make Pork Casserole  Domestic or what!
neutral,totally forgot about pink radio being launched today; gonna listen to it when i finish my assignment
negative,"is feeling sick .... oh well, i reckon those people on the bus cursed me.... Anyways, nighty night all!!"
neutral,"@hollyre they are, aren't they."
neutral,@sanmiglight whatever pung ! haha.. i dont care. JK
neutral,"@Its_Claire now I wanna get me some warp pants,,,,"
neutral,@colinn And on Wednesday I'll get my government paycheck.  It's like we just swap money...
negative,Getting to play golf with our kickin' Leadership Team...I have a feeling they r gonna kick me on the golf course
neutral,DOUGIE POYNTER REPLYED TO ME
neutral,"@Lowri_Bones Four capital letters. Aye boy, same as that. I heart Justice."
neutral,"@GlovesElectric well then you should come, nigguh. Only thing is i may be going to like Phuket or Bali afterwards"
negative,@Matt_Vega @Matt_Vega sikeeee.I'm sick *cough*
neutral,off to bed for the night. goods night everyone
neutral,"Who starts a briefing at 7:30 a.m.? People on the East Coast, that's who."
neutral,"I am tracking with Heather Hayes today (that's right, the daughter of Isaac Hayes aka SHAFT aka Chef on southpark)    - JJ KILLA"
neutral,@hughsbeautiful It is very cool isn't it  You still haven't bought it... tut tut!!
neutral,"@justjoe pretty much, thanks.  seeing if a little Gilbert &amp; Sullivan will cheer me up more."
negative,@Sampad Till then ..Ice Cream!
neutral,That just made my night
negative,@Mfjmaf Namaskar &amp; Namaste r both the same. Marathi people say Namaskar! its a marathi word.... should i ? ...naaaah !
neutral,I'm going to do my homework... bye!
neutral,Ed is awake! But Andy doesn't feel so hot so she's still sleeping.
neutral,the last time pankraz. why do they have to got the same name ?!?!
neutral,"Sweet USB at Charles and Marie site, just bought it  http://tinyurl.com/csdhw9"
negative,"when i decide to be on time for something, that devil is always there to counteract! Frustrating but not discouraging..."
neutral,@pazkallah Wahoo! Thanks for the mention to others!
neutral,@urbanfly well you are a tricky one so I would say 6.5
neutral,"@schwammy LOL! based on my last post then, I'll plan on using you as a reference"
neutral,is at her nan's house eating fish and chips and watching Top Gear. Good times.
neutral,@AreonLee Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter
neutral,the whole day.
negative,"@Stormb441 not in this part of Surrey either, feeling quite a bit nippy I must say. Afternoon to you"
neutral,@adrianspencer we have mice in our attic who clog dance
neutral,"Gmorning   ooh giirll, Mondays"
neutral,Goodmorning twitter bugs.. happy monday to you all! Today marks my first official day at my first fulltime job.. time to get ready!
neutral,bath time
neutral,"Hey @joyfulbiz, I bet you and your tweeps have lots of mother wisdom to share."
neutral,@AffirmationSpot Around better..  How are you ?
neutral,I actually drove in today - no incidents to report  to quote Ice Cube - Today was a good day
neutral,"@twistednurse76 I am behind the times, I hadnt loaded any songs from THE BLOCK til now.. What do u hav to offer?!?!"
neutral,@Nfnitedawn Cheers *lifts coffee cup* here here for Mondays
neutral,@pete_witty  yes france/belgium was good  carnt belive how much traffic we hit on the way back
neutral,"@Silent_Brad oh, cuz id like to use it on a whole heap on bitchy girls I knoww"
negative,"** gifts &amp; honesty box messages has been discontinued due to abuse ** - hehe, dalï¿½ï¿½ facebookovï¿½ aplikace na hovno"
negative,ill and bored on bank holiday.. Nothings open.. Bad times.. Film it is
neutral,Got home from audition awhile ago. I think it went pretty well  Now my math homework is calling my name -.-'
neutral,SOMEBODY CHECK THE WEATHER FOR ME  kthxbai.
neutral,pink bubble baths and champs
neutral,@GauravSaha Two more tweets to go for 2345 tweets
neutral,sAyS: wAtChInG mAtIlDa
neutral,Haven't worn this hoodie since SXSW. Forgot how amazingly comfy it is.
neutral,$RZ Hope so.  Time will tell.  Good luck   $$
neutral,is at Klaudine's. Again...
neutral,graphic design..should be making a business card..but im on TWITTER!
negative,@djsteeley I think it's less of a tribute and more of a parody.
neutral,"@RSR108 trying to do the same thing, running an online business as well as running a regular business in the &quot;real&quot; world"
neutral,@dannywood made me smile...that's what you did already this morning!    Have a great day!!
neutral,"Is at work....  boo!  The Pin-Ups will be playing at Uncommon Ground Wednesday night at 9 p.m.! (1401 W. Devon Ave., Chicago 60660"
neutral,@msegers Thanks! Good morning
neutral,@sunnysidesup @TJP5082 Is George still mending the car ?
neutral,Interesting. I type 'bike' i get 10 bike company followers. 'Download' gets me 5 IT companies. Amused.  Can you say 'keyword'?!
neutral,@esoterismo  cool its my P
neutral,@SpyCamsSpyEquip Thanks for the follow
neutral,@ntpro Hmm.  My VPN works fine.    (Oh.. wait.. I don't need VPN anymore.) http://tinyurl.com/cao6tu
neutral,after my previous twitter...this is funny! And also always gets me motivated for a brand new day!  ? http://blip.fm/~5jnbz
negative,On the computer alllllllllllllllll day
negative,"has a lot to catch up on from the weekend! The BHR hosts have been busy, busy, busy  http://plurk.com/p/rqpl7"
neutral,fall down
neutral,@flyingnutcase That just means you were not trying hard enought
neutral,@deberito Beto's Pizzeria is on Banksville Rd in I believe the Beachview area... Sorry to answer like 100 years later
neutral,@MayLouis Hiya! How are you doing today?
negative,"is on cloud 20 minus 11, razzle dazzle in amazement cuz he showed her heaven!"
neutral,@DutchReaganite So am I.
neutral,"Ive been up since 530,i hate wen i cant sleep. Garys takn a nap and i mite do the same"
neutral,About to go eat breakfast at jay jays cafe with my one and only
neutral,@radha_ They were some nice Pics you have kept  there.. you seem to carry your Cam around along with you..
neutral,WHAT DO YOU WANT FROM ME?!  I'm awake.
negative,@MelBrooke happy birthday month!! I only get a day but you deserve the whole month
neutral,"@kevingraham oh, and thanks for the help"
neutral,@bosskhouston im bloggin right now...will do later
neutral,@corkyloowho haha  @Jonasbrothers y'all should REALLY hurry up and announce AUSTRALIAN tour dates. it's been 3 freaking MONTHS! @thePISTOL
neutral,"on my way to work, late as usual"
neutral,Made a seamless connection to Toro Toro Quebec Two.
neutral,the day is almost over... atlast i was able to through  with all the comments  Now waiting for the new blog from TED!
negative,"@MattthewHoare please don't tell me they've cut the price of macbooks.. although if photoshop has been reduced, that'd be great"
neutral,graduates college on saturday
neutral,the bone along the outside of ur feet ~ do a caterpillar crawl of the sides 4 spine relief  reflexology works.
neutral,Staff meeting today with JoeMo...it just won't be the same! Travel safely @joemoore10...we'll see you tomorrow!
neutral,Please read my friend's post and leave a comment  http://tinyurl.com/czb2sg
neutral,@Shontelle_Layne  hmm.. what's ur fav movie?? tv shows??
neutral,"Which do you prefer? Hamdemic, Aporkalypse or Parmageddon?"
neutral,that's two and a half hours completed now. chillaxing until half 2
negative,@asexynyfemale just make sure you have it well done
negative,Good Morning!  ? http://blip.fm/~5jnl7
neutral,"@MelKirk lol, Thanks for the morning Chuckle   Not sure if you follow me? Please check.."
neutral,"@ItalyJames wutz good, i sent u that emai again, get at me girl  614 638 0255"
neutral,@TraceyHewins Good Morning
neutral,@seanpercival I'll keep that in mind if I decide to add an LA leg  to my westt coast stint in June
neutral,@twistedscience It rained here too
neutral,"@feelme i saw this 6 week diet that was no sugar, no rice, no wheat, no potatoes, as much protein as you want. So i just did no sugar."
negative,"sitting in katies house with jo, the other two are away doing stuff, and i have swine flu  and bronchitis but thats a diff story."
neutral,Wild Oats Pinot Grigio = v easy to drink
neutral,"Playing at THE HAVEN tonight with Cassandra Wilcox, Patrick Bell, Ben Bloss, &amp; Bucket of Nails! Doors are at 8pm. 21+: $6, Under 21: $8!"
negative,"@AntiDepressiva I get motivated by the fact that I know I'll wake up and be more productive if I go, then if I sleep in, just me though"
neutral,@dannywood My mind is going to the gutter
neutral,I need a coffee
neutral,@margaretcho learn two-headed boy by nutreal milk hotel
neutral,"@LaBarceloneta I think I'll target it's original release date, which is July 29th.  Enough time to raise faux or ironic interest."
neutral,@ajkavanagh - Just seen the kiosk at Central Station. Nice job.
negative,@agent_22 ok so I'm having a complete insomniac moment. It's 6am(almost) and I'm STILL awake. I hate when I can't stop thinking!  mornin!
neutral,@mrxtothaz you should not be wasting the may bank holiday in the crappy north- you should be down south in brighton where the party's at
neutral,"@ramin987 Aha both same length, touche"
neutral,@missfree hey free
neutral,"@jocope well, I was under the impression most people have the urge to buy new sofas  To be fair, we're not tiling, we have a man for that"
neutral,Good morning
neutral,@brunolorenz e ah! Ghost in the Shell ï¿½ meu anime favorito. assistiu?
neutral,getting nails done!!! how relaxing! benji is only 24 hours away!!!!
neutral,is getting ready to go over to the apartment
negative,@Izzndsophtv i want to experience snow  we don't have snow here and it sucks
neutral,In bed. A cuppa. Tv on... All this while husband is cooking... Life is sweet...
negative,Eating a bagel  yummy
neutral,@iloven3wyork Thanks
neutral,&amp; more #&lt;3criminy cuteness! http://tinyurl.com/cd8yab #sinfest
neutral,"@Decordiva Yep, getting some material together for my 1st USA pitch to realtors. Haven't quite worked out the angle yet, but it'll come"
neutral,n case you missed the show yesterday - here's a chance to listen again on the BBC iPlayer  enjoy  http://tiny.cc/oIkbK
neutral,"@bernadeth oic, where in Cavite? no sorry im not from America ... if you can see my profile, there's no word like America there"
neutral,@tyranasaurusbex Sexy  What time you coming up town? Meeting me at 5ish?
neutral,"I'm at work, hoping to enjoy the day!!  Fingers are crossed!!"
neutral,@jpoglesby Hope you feel better soon and check out my cool backround on my profile
negative,@juenese i totally felt bad for the guy. haha im good  i miss you guys!
negative,Wish I was in London to personally witness the Nun Run! What a great idea for the opening of Sister Act's new broadway show
neutral,true lol no problem about the unfollowing..not mad
neutral,"@dougiemcfly so which one are you The Good, The Bad or The Ugly"
negative,Checked the bank acct this mornin..got a lil sad..then decided I would imagine a 0 on the end just to make me smile.  #whateverworks
negative,@jerzegurl Hiya! Missed you too! What have you been up to?
neutral,Biology final today. Then home to prepare for psychology.
neutral,Woke up after about 6 hours of sleep. Feeling better now
negative,up and listening to The Monsters.
neutral,"@dlayphoto Yes, Koi for a few years now and they have had babies as well.  Biggest ones almost 2 ft long now and they all have names .."
negative,.. i am going to fail my art final. FML. this was by far the worst semester of my life school wise- otherwise it was the best
neutral,@taylorswift13 hi I'm goin to see you on wednesay at shepards bush
neutral,"Currently uploading wordpress, this'll give the new site a bit more fluidity than blogger does"
neutral,My goodbey pressents  http://mobypicture.com/?uqi0h2
neutral,@thinksmith we need to talk  you are one step ahead... i know another two people who are also one step ahead
neutral,TalkingWithTami morning Ms. Tammie!  Your fam looked adorable in Family Circle   I bought it &amp; was like &quot;see honey?  I talked to her&quot;  LOL
neutral,@crazytwism  hubz company was organising ...i had to be there!
neutral,@coollike http://twitpic.com/4jg09 - looks exactly like I do when I get that GH guitar in my hand
negative,Hell of a lot to do. But they say you shouldn't complain theese days. Who are &quot;they&quot; and can &quot;they&quot; help me in that case
neutral,"Got up late,yet still managed to do housework in same time. Not bad going. Better go and finish off"
neutral,@Krownz We keep very different hours.
neutral,Good Morning
negative,@LesNoyse when will she b finished
negative,@yaseminx3  know. hahah xD what cha doin?
neutral,"@stolendreams Thats not helpful. At least know you've got a place secured already if things don't pan out, but my fingers are crossed you"
negative,Pizza for breakfast....  shower... classes
negative,My Boss is in Las Vegas on the 14th A.P.P. Conference.......pfff
neutral,"@gretchenemily I'm in an 8 now too, but b4 I had kids I was a 6.5! Darn babies making my feet grow"
neutral,@kokogirl He needs to go back to his Scotty. That is what he was using when he won last year
neutral,http://twitpic.com/4jhp8 - Waitin on them 2 tell me what's the plan
neutral,@robluketic You almost have as many viewers as the Live Eagle Cam on Ustream  http://tinyurl.com/d4hgoj
neutral,@scottrmcgrew do you have another account here??
neutral,i aint lyk any othaa gurrrrrl i dont lyk the jonas brothers-kristi.
neutral,China's copycars: familiar-looking vehicles at Shanghai Auto 2009 http://tinyurl.com/ccvo3h that was funny
neutral,@ddlovato check out my twitpic telling people to buy your album!  http://www.twitpic.com/4jhn7
neutral,@piginthepoke sounds like a plan
neutral,thanks to @RITadmissions for becoming a follower
neutral,"@BedandBreakfsts Thanks, Kelly! You are too sweet!"
neutral,@smosh  does the Creepy Lolipop guy play head esploder 5  ??
neutral,Mondays best excited about the week!!
neutral,@zaccolley of course it is   http://is.gd/kqSK
neutral,"@jboriginal yip, that would be a sign that you've been on the dodgy sites Jo... eish boet, it ain't cool"
neutral,@unfolder There's no pause button in the game of life.
neutral,@BroadwayManor  they are a long way from the sea  unless they came from Gloucester docks.
neutral,"at Office ready to work and waiting for Windows 7 Candidate Release - 5 May, 2009"
negative,"@626aicitroM Yeah, yeah. Less #degenerate than current occupants of U.S. House of Reprehensibles. You can bet on that. Like MineThatBird."
neutral,@demr_awd I'm gonna have to disagree my friend.  The coolest one on the planet is sitting right next to me.
neutral,@Kaylaphlegar people dont get into fender benders on the way to school that just doesnt happen hahahahah
neutral,@sueyoungmedia Thanks so much!
neutral,"@ImagesAndWords or so a month. I put my 2 week's notice in a little over a week ago, my last day is this friday!"
negative,I'm feeling pretty energized &amp; ready to face the day w/only about 3 hours of sleep. Hope it lasts all day.
neutral,@amyzsenai Thank you!
neutral,@elizabethlai Just study according to the notes that you had to copy and you'll be fine.
neutral,@laurenlim er yea am i doubly awesome now?
neutral,@emocontrol so how have you been doing ?
neutral,@thesomeex  how great is that!  Nice to meet you!
neutral,@theKINGm1 Cuz you play a grown up on Twitter?
neutral,is full from a nice dinner
neutral,@AllanCavanagh I'd move into a mudhut if I could. But none of the other crap. I just like the mudhut
neutral,Drinking coffee....MMMMM.....coffee
neutral,@saygoodbye2luv Thanks for the concern. And checking up on me! Much appreciated
negative,@JuliusLionheart y r we giving up on people?  I actually thought that way for a while too before I found someone who is very intriguing
neutral,@karasw I concur with @annielogue! It's priority on today's to do list  http://twitter.com/karasw/status/1695368792
neutral,"Full Time in tonight's game, Ashington 0 - 5 Whitley Bay"
neutral,"later I went up to monroe and worked out with friends - TRX, ropes and KBs!!   30sec on/30 off..rope swings &amp; c&amp;ps, windmills, wve aquats"
neutral,@bigbrovar what have you been up to ?
neutral,roll me in your arms cuz i cant remember ever falling this hard.. -avalanche by DC
neutral,@maroonedmarla Try this link.  You'll have to watch an ad first though. http://tinyurl.com/4ttngg
neutral,"525,600 recycled tiles...but will they be able to pay this year's rent?   Broadway gets a &quot;green&quot; theater.   http://bitly.com/3LoHVl"
neutral,@utterlyterrific hey  what's up?
negative,"@petercoffin Maybe if we pass a lay making the #swineflu illegal, law abiding citizens won't get it"
neutral,Off to class. Be back in about 2 hours!
neutral,@jenndillingham  still need to see that movie ! I am all about vampires
neutral,@hachuree ?????
neutral,is going to a wedding in the afternoon
neutral,I'm at work trying hard not to succumb to the &quot;Poor me&quot; mentality due to severe allergies.  Boo.
neutral,@ohheyness happy birthday ness!!
neutral,@gulpanag Tataindicom is not as good as Tatasky  Airtel broadband is better.
neutral,okay really really bored. i watched a michael jackson concert from 1992. he's awesome  and his short films r coolio too (:
neutral,@XarkGirl pooof .nirvana. Did that work?  http://myloc.me/tDl
neutral,"http://twitpic.com/4ji3n - Muah  Yeah, that is my brother. No, he's not weird.."
neutral,"@aly_o uh, could you come visit austin before you make your gigantic moving decision? it's closer to st louis than portland."
neutral,@sli hope u did alright on the final
negative,"Going to bed, in pain fell on my shoulder today. Good night"
neutral,@WParenthetical   G'night!
neutral,@intelamber so how are you doing this morning ?
neutral,"@animuxia ????  ? ??????, ?????? ????????,Basquash,K-ON,07-Ghost,Sengoku Basara,Valkyria Chronicles,RequiemForThePhantom,EdenOfTheEast."
negative,My computer is SO slooowww this morning.  I think it's a sign that I should go home and play in my yard.
neutral,"OMG. I got a explosion of new followers, hello new followers"
neutral,Morning twitterverse ! Just woke up.. Felt a little lethargic.. But up n wide awake now. Gettin ready for 5 hour drive home !
negative,Just five more days. Five more long days. Ahh!
neutral,@lsbautista Thank you. I needed that
neutral,@AliNichole0619 I am thinking about reading that too! She is talking about it on the View too! Not that you miss it often
neutral,@GlastoWatch @TheHwicceMan @cakey  i have been getting porn ones as i mentioned - all these girls seem to be at a loss what to do!
negative,Got my attics w sadie art work included  good times just broke my head phones bad times still happy buy attics!
negative,@quinland  I Hate It There Should Be A Endless Supply Of Hot Water!  I Put the Water Heater On 20mins Ago So Ill Be Gone In 10mins  Xx
neutral,"@RealMikeKnight @TeresaKopec - Guess POTUS will be able to do more digging &amp; folo up on the SS nomination. He's in a good pos 2 do that,"
neutral,studying the american revolution...george washington
neutral,"sabi ko nga lighting up is hazardous to your health, but got shoes for it  thanks love"
neutral,@AndySmurf I guess you will find out shortly.
neutral,Must be time of month: Watering eyes AGAIN!: http://tinyurl.com/cuwj2b (speciaal voor @marianneh: zo vind ik ze wï¿½l leuk!  )
neutral,morning all  eating my morningstar farms veggie bacon and a strawberry streudal. will be on later. work today.get dog tick juice. ugh
neutral,@corie_michele but sometimes not having to say nice things all the time is kinda fun  *teehee*and now I'll put this back on as well *halo*
neutral,watching live feed of Killer 5 set. Pretty neat
negative,@sway_sway_baby mighty boosh kicks arse
neutral,Starting class. Today we start MediSoft.
neutral,Just work up
neutral,@didactylos Aha! Well I'm from Ashington and going back to my old school in Sept. which will become Northumberland C of E Academy.
neutral,@ThisIsRobThomas good morning rob!
neutral,@DillonHall How do you spell the sound of a wookie?
neutral,@THAREALYUKMOUTH I'd Love to work with you! http://myspace.com/inikco  Tell ur friends to follow me!
negative,just another manic monday.. wish it were sunday.. that's my fun day  happy monday twitterland
neutral,"@i0n, OR write a CMS that uses git for versioning  check out rails-git.  I'd be interested in working on something like that."
neutral,@Poshpinkla goodmorning
neutral,@paulcargill thanks  xxx
neutral,@sorcha69 Thank you. Very kind of you to say that!
neutral,will be working at 7/11 this summer
neutral,@schwendigity You should see our floors before you make that offer.  Let me know if you don't receive a call soon.
neutral,"@fourstringfuror yea - it's mostly b/c I couldn't sleep, but oh well, lunch time will come soon"
negative,@CelestialBeard http://ten.com.au/good-news-week.htm &lt;--- this is it. definitely nothing christian about it
neutral,@nberardi @SaraJChipps My guess is that its because Sara makes a mention of mariage proposals on her site.
neutral,@solutioncoach  Great! I'm glad you enjoy them  I hope you have a GREAT day
neutral,"@benny_bennett gotta go drive my Dad around today, but i'll be back this afternoon."
negative,miss your smile
neutral,"Just woke up and washed up, I have class @ 10 till 11 then chillin in G Building with my nigguhs. Then my bby is coming over @ 3:30!  ilh?"
negative,"AC is broke at the house. waiting to get an estimate on timeframe to repair. on the bright side, gonna join CoLab this week."
neutral,Beach with ashley
neutral,its 35 now.   ilycecily &lt;3
neutral,But what about faith?   Peter  :^)
neutral,"@TennealMaree haha ofcoooursee you do, its pretty much a must, and pluss its dress up night, jst added incentive"
neutral,"alright, back from my twitter decompression  Happy monday folks, what's the good word?"
neutral,"@BleedBlacknGold meee.. I have a Penguin wallpaper on the backround on my phone, computer, ps3, ipod touch and on my twitter"
negative,has a new nick name - arosh ..i like i like
neutral,"http://pic.gd/63ef My college, My friends"
neutral,Wohoo! Going to see Eddie Izzard in December!
